name	path	emotion
['Ses05M', 'impro01', 'M015']	IEMOCAP_mp3/Ses05M_impro01_M015_ang.mp3	positive
['Ses03F', 'impro04', 'M011']	IEMOCAP_mp3/Ses03F_impro04_M011_neu.mp3	negative
['Ses03M', 'script02', '2', 'M035']	IEMOCAP_mp3/Ses03M_script02_2_M035_fru.mp3	negative
['Ses04M', 'script01', '1', 'F008']	IEMOCAP_mp3/Ses04M_script01_1_F008_sur.mp3	negative
['Ses01F', 'impro05', 'M005']	IEMOCAP_mp3/Ses01F_impro05_M005_neu.mp3	negative
['Ses01M', 'impro07', 'M007']	IEMOCAP_mp3/Ses01M_impro07_M007_exc.mp3	negative
['Ses03M', 'script03', '2', 'M041']	IEMOCAP_mp3/Ses03M_script03_2_M041_ang.mp3	positive
['Ses02M', 'script03', '2', 'M044']	IEMOCAP_mp3/Ses02M_script03_2_M044_ang.mp3	positive
['Ses01F', 'script01', '3', 'F031']	IEMOCAP_mp3/Ses01F_script01_3_F031_neu.mp3	negative
['Ses02F', 'script01', '1', 'F031']	IEMOCAP_mp3/Ses02F_script01_1_F031_fru.mp3	negative
['Ses04F', 'impro08', 'M012']	IEMOCAP_mp3/Ses04F_impro08_M012_neu.mp3	negative
['Ses03F', 'impro02', 'F026']	IEMOCAP_mp3/Ses03F_impro02_F026_sad.mp3	negative
['Ses01M', 'script02', '2', 'M003']	IEMOCAP_mp3/Ses01M_script02_2_M003_exc.mp3	negative
['Ses03F', 'impro01', 'M002']	IEMOCAP_mp3/Ses03F_impro01_M002_neu.mp3	negative
['Ses03F', 'script02', '2', 'M033']	IEMOCAP_mp3/Ses03F_script02_2_M033_fru.mp3	negative
['Ses04F', 'script01', '2', 'M017']	IEMOCAP_mp3/Ses04F_script01_2_M017_ang.mp3	positive
['Ses03M', 'impro01', 'M007']	IEMOCAP_mp3/Ses03M_impro01_M007_fru.mp3	negative
['Ses05F', 'script02', '1', 'M007']	IEMOCAP_mp3/Ses05F_script02_1_M007_fru.mp3	negative
['Ses01F', 'script02', '1', 'F006']	IEMOCAP_mp3/Ses01F_script02_1_F006_ang.mp3	positive
['Ses02F', 'impro08', 'F016']	IEMOCAP_mp3/Ses02F_impro08_F016_neu.mp3	negative
['Ses03M', 'impro01', 'F009']	IEMOCAP_mp3/Ses03M_impro01_F009_fru.mp3	negative
['Ses01M', 'script01', '1', 'M027']	IEMOCAP_mp3/Ses01M_script01_1_M027_fru.mp3	negative
['Ses03M', 'impro03', 'F026']	IEMOCAP_mp3/Ses03M_impro03_F026_hap.mp3	negative
['Ses02M', 'impro05', 'F005']	IEMOCAP_mp3/Ses02M_impro05_F005_neu.mp3	negative
['Ses03M', 'script02', '2', 'F008']	IEMOCAP_mp3/Ses03M_script02_2_F008_fru.mp3	negative
['Ses03F', 'impro06', 'F011']	IEMOCAP_mp3/Ses03F_impro06_F011_sad.mp3	negative
['Ses03M', 'script01', '2', 'F011']	IEMOCAP_mp3/Ses03M_script01_2_F011_sad.mp3	negative
['Ses01M', 'impro02', 'F004']	IEMOCAP_mp3/Ses01M_impro02_F004_fru.mp3	negative
['Ses04M', 'impro03', 'F005']	IEMOCAP_mp3/Ses04M_impro03_F005_exc.mp3	negative
['Ses04M', 'script02', '1', 'F005']	IEMOCAP_mp3/Ses04M_script02_1_F005_ang.mp3	positive
['Ses02F', 'script03', '1', 'M026']	IEMOCAP_mp3/Ses02F_script03_1_M026_neu.mp3	negative
['Ses01F', 'impro05', 'F019']	IEMOCAP_mp3/Ses01F_impro05_F019_ang.mp3	positive
['Ses05M', 'script01', '1', 'M033']	IEMOCAP_mp3/Ses05M_script01_1_M033_ang.mp3	positive
['Ses01F', 'script01', '1', 'F012']	IEMOCAP_mp3/Ses01F_script01_1_F012_fru.mp3	negative
['Ses03M', 'impro03', 'F015']	IEMOCAP_mp3/Ses03M_impro03_F015_neu.mp3	negative
['Ses01M', 'impro05', 'F021']	IEMOCAP_mp3/Ses01M_impro05_F021_neu.mp3	negative
['Ses03F', 'script01', '3', 'M001']	IEMOCAP_mp3/Ses03F_script01_3_M001_neu.mp3	negative
['Ses03F', 'script01', '3', 'F027']	IEMOCAP_mp3/Ses03F_script01_3_F027_sad.mp3	negative
['Ses03F', 'impro06', 'M004']	IEMOCAP_mp3/Ses03F_impro06_M004_sad.mp3	negative
['Ses01F', 'impro04', 'F025']	IEMOCAP_mp3/Ses01F_impro04_F025_fru.mp3	negative
['Ses01M', 'impro02', 'F015']	IEMOCAP_mp3/Ses01M_impro02_F015_sad.mp3	negative
['Ses02M', 'impro06', 'M011']	IEMOCAP_mp3/Ses02M_impro06_M011_sad.mp3	negative
['Ses03F', 'impro05', 'M004']	IEMOCAP_mp3/Ses03F_impro05_M004_fru.mp3	negative
['Ses03F', 'script01', '3', 'M017']	IEMOCAP_mp3/Ses03F_script01_3_M017_sur.mp3	negative
['Ses05M', 'impro06', 'F003']	IEMOCAP_mp3/Ses05M_impro06_F003_sad.mp3	negative
['Ses05M', 'impro03', 'F011']	IEMOCAP_mp3/Ses05M_impro03_F011_hap.mp3	negative
['Ses04F', 'script02', '1', 'F015']	IEMOCAP_mp3/Ses04F_script02_1_F015_fru.mp3	negative
['Ses05M', 'script01', '3', 'M002']	IEMOCAP_mp3/Ses05M_script01_3_M002_sur.mp3	negative
['Ses01F', 'impro01', 'F011']	IEMOCAP_mp3/Ses01F_impro01_F011_fru.mp3	negative
['Ses04M', 'impro04', 'F016']	IEMOCAP_mp3/Ses04M_impro04_F016_neu.mp3	negative
['Ses01F', 'impro03', 'M019']	IEMOCAP_mp3/Ses01F_impro03_M019_neu.mp3	negative
['Ses04M', 'impro02', 'M009']	IEMOCAP_mp3/Ses04M_impro02_M009_fru.mp3	negative
['Ses05M', 'impro01', 'F005']	IEMOCAP_mp3/Ses05M_impro01_F005_fru.mp3	negative
['Ses03F', 'script02', '2', 'F005']	IEMOCAP_mp3/Ses03F_script02_2_F005_ang.mp3	positive
['Ses01M', 'script02', '2', 'F024']	IEMOCAP_mp3/Ses01M_script02_2_F024_sad.mp3	negative
['Ses03F', 'impro01', 'M004']	IEMOCAP_mp3/Ses03F_impro01_M004_neu.mp3	negative
['Ses05F', 'script03', '2', 'F021']	IEMOCAP_mp3/Ses05F_script03_2_F021_ang.mp3	positive
['Ses05M', 'impro04', 'F001']	IEMOCAP_mp3/Ses05M_impro04_F001_neu.mp3	negative
['Ses03F', 'script03', '2', 'M001']	IEMOCAP_mp3/Ses03F_script03_2_M001_ang.mp3	positive
['Ses04F', 'impro05', 'F008']	IEMOCAP_mp3/Ses04F_impro05_F008_ang.mp3	positive
['Ses04M', 'script01', '1', 'M034']	IEMOCAP_mp3/Ses04M_script01_1_M034_sad.mp3	negative
['Ses05F', 'impro03', 'F048']	IEMOCAP_mp3/Ses05F_impro03_F048_hap.mp3	negative
['Ses01M', 'script01', '1', 'F031']	IEMOCAP_mp3/Ses01M_script01_1_F031_sad.mp3	negative
['Ses02M', 'impro02', 'F011']	IEMOCAP_mp3/Ses02M_impro02_F011_fru.mp3	negative
['Ses03M', 'impro04', 'F025']	IEMOCAP_mp3/Ses03M_impro04_F025_neu.mp3	negative
['Ses02M', 'impro06', 'M021']	IEMOCAP_mp3/Ses02M_impro06_M021_sad.mp3	negative
['Ses05F', 'impro04', 'M003']	IEMOCAP_mp3/Ses05F_impro04_M003_neu.mp3	negative
['Ses02F', 'impro01', 'F005']	IEMOCAP_mp3/Ses02F_impro01_F005_fru.mp3	negative
